0023 20E3	gorchudd bysell #
1F626	wyneb gwgus â cheg agored
1F627	wyneb dirboen
1F628	wyneb ofnus
1F629	wyneb lluddedig
1F62A	wyneb cysglyd
1F62B	wyneb blinedig
1F62C	wyneb ag ystum
1F62D	wyneb yn beichio crio
1F62E	wyneb â cheg agored
1F62F	wyneb distewi
1F630	wyneb â cheg agored a chwys o ofid
1F631	wyneb yn sgrechian ag ofn
1F632	wyneb wedi rhyfeddu
1F633	wyneb yn gwrido
1F634	wyneb yn cysgu
1F635	wyneb wedi llorio
1F636	wyneb heb geg
1F637	wyneb â mwgwd meddygol
1F638	wyneb cath yn gwenu â cheg agored a gwên yn y llygaid
1F639	wyneb cath â dagrau o hapusrwydd
1F63A	wyneb cath yn gwenu â cheg agored
1F63B	cath yn gwenu â chalonnau yn y llygaid
1F63C	wyneb cath â gwên ar gam
1F63D	wyneb cath yn cusanu â llygaid ynghau
1F63E	wyneb cath yn pwdu
1F63F	wyneb cath yn crio
1F640	wyneb cath luddedig
1F641	wyneb â pheth gwg arni
1F642	wyneb ag ychydig o wên arni
1F643	wyneb â’i ben i waered
1F644	wyneb â llygaid yn rholio
1F645	person yn ystumio nad yw’n iawn
1F645 1F3FB	person yn ystumio nad yw’n iawn arlliw croen golau
1F645 1F3FC	person yn ystumio nad yw’n iawn arlliw croen canolig-golau
1F645 1F3FD	person yn ystumio nad yw’n iawn arlliw croen canolog
1F645 1F3FE	person yn ystumio nad yw’n iawn arlliw croen canolig-tywyll
1F645 1F3FF	person yn ystumio nad yw’n iawn arlliw croen tywyll
1F646	person yn ystumio iawn
1F646 1F3FB	person yn ystumio iawn arlliw croen golau
1F646 1F3FC	person yn ystumio iawn arlliw croen canolig-golau
1F646 1F3FD	person yn ystumio iawn arlliw croen canolog
1F646 1F3FE	person yn ystumio iawn arlliw croen canolig-tywyll
1F646 1F3FF	person yn ystumio iawn arlliw croen tywyll
1F647	person yn ymgrymu
1F647 1F3FB	person yn ymgrymu arlliw croen golau
1F647 1F3FC	person yn ymgrymu arlliw croen canolig-golau
1F647 1F3FD	person yn ymgrymu arlliw croen canolog
1F647 1F3FE	person yn ymgrymu arlliw croen canolig-tywyll
1F647 1F3FF	person yn ymgrymu arlliw croen tywyll
1F648	mwnci gweld dim drwg
1F649	clywed dim drwg
1F64A	siarad dim drwg
1F64B	person yn codi llaw
1F64B 1F3FB	person yn codi llaw arlliw croen golau
1F64B 1F3FC	person yn codi llaw arlliw croen canolig-golau
1F64B 1F3FD	person yn codi llaw arlliw croen canolog
1F64B 1F3FE	person yn codi llaw arlliw croen canolig-tywyll
1F64B 1F3FF	person yn codi llaw arlliw croen tywyll
1F64C	person yn codi dwylo
1F64C 1F3FB	person yn codi dwylo arlliw croen golau
1F64C 1F3FC	person yn codi dwylo arlliw croen canolig-golau
1F64C 1F3FD	person yn codi dwylo arlliw croen canolog
1F64C 1F3FE	person yn codi dwylo arlliw croen canolig-tywyll
1F64C 1F3FF	person yn codi dwylo arlliw croen tywyll
1F64D	person yn gwgu
1F64D 1F3FB	person yn gwgu arlliw croen golau
1F64D 1F3FC	person yn gwgu arlliw croen canolig-golau
1F64D 1F3FD	person yn gwgu arlliw croen canolog
1F64D 1F3FE	person yn gwgu arlliw croen canolig-tywyll
1F64D 1F3FF	person yn gwgu arlliw croen tywyll
1F64E	person yn pwdu
1F64E 1F3FB	person yn pwdu arlliw croen golau
1F64E 1F3FC	person yn pwdu arlliw croen canolig-golau
1F64E 1F3FD	person yn pwdu arlliw croen canolog
1F64E 1F3FE	person yn pwdu arlliw croen canolig-tywyll
1F64E 1F3FF	person yn pwdu arlliw croen tywyll
1F64F	dwylo wedi plygu
1F64F 1F3FB	dwylo wedi plygu arlliw croen golau
1F64F 1F3FC	dwylo wedi plygu arlliw croen canolig-golau
1F64F 1F3FD	dwylo wedi plygu arlliw croen canolog
1F64F 1F3FE	dwylo wedi plygu arlliw croen canolig-tywyll
1F64F 1F3FF	dwylo wedi plygu arlliw croen tywyll
1F680	roced
1F681	hofrennydd
1F682	locomotif
1F683	car rheilffordd
1F684	trên tra chyflym
1F685	trên tra chyflym gyda thrwyn fel bwled
1F686	trên
1F687	metro
1F688	rheilffordd ysgafn
1F689	gorsaf
1F68A	tram
1F68B	car tram
1F68C	bws
1F68D	bws yn dod i’ch cwrdd
1F68E	bws trydan
1F68F	arhosfan bws
1F690	bws mini
1F691	ambiwlans
1F692	peiriant tân
1F693	car yr heddlu
1F694	car heddlu sy’n dod i’ch cwrdd
1F695	tacsi
1F696	tacsi sy’n dod i’ch cwrdd
1F697	modur
1F698	modur sy’n dod i’ch cwrdd
1F699	cerbyd hamdden
1F69A	lori dosbarthu
1F69B	lori gymalog
1F69C	tractor
1F69D	trên un gledren
1F69E	rheilffordd fynydd
1F69F	rheilffordd grog
1F6A0	rhaffbont fynydd
1F6A1	tramffordd awyrol
1F6A2	llong
1F6A3	person yn rhwyfo cwch
1F6A3 1F3FB	person yn rhwyfo cwch arlliw croen golau
1F6A3 1F3FC	person yn rhwyfo cwch arlliw croen canolig-golau
1F6A3 1F3FD	person yn rhwyfo cwch arlliw croen canolog
1F6A3 1F3FE	person yn rhwyfo cwch arlliw croen canolig-tywyll
1F6A3 1F3FF	person yn rhwyfo cwch arlliw croen tywyll
1F6A4	cwch gwib
1F6A5	golau traffig llorweddol
1F6A6	golau traffig fertigol
1F6A7	adeiladwaith
1F6A8	golau car yr heddlu
1F6A9	baner drionglog
1F6AA	drws
1F6AB	wedi’i wahardd
1F6AC	ysmygu
1F6AD	dim ysmygu
1F6AE	arwydd sbwriel mewn bin
1F6AF	dim sbwriel
1F6B0	dŵr yfed
1F6B1	dŵr na ellir ei yfed
1F6B2	beic
1F6B3	dim beiciau
1F6B4	person yn beicio
1F6B4 1F3FB	person yn beicio arlliw croen golau
1F6B4 1F3FC	person yn beicio arlliw croen canolig-golau
1F6B4 1F3FD	person yn beicio arlliw croen canolog
1F6B4 1F3FE	person yn beicio arlliw croen canolig-tywyll
1F6B4 1F3FF	person yn beicio arlliw croen tywyll
1F6B5	person yn beicio mynydd
1F6B5 1F3FB	person yn beicio mynydd arlliw croen golau
1F6B5 1F3FC	person yn beicio mynydd arlliw croen canolig-golau
1F6B5 1F3FD	person yn beicio mynydd arlliw croen canolog
1F6B5 1F3FE	person yn beicio mynydd arlliw croen canolig-tywyll
1F6B5 1F3FF	person yn beicio mynydd arlliw croen tywyll
1F6B6	person yn cerdded
1F6B6 1F3FB	person yn cerdded arlliw croen golau
1F6B6 1F3FC	person yn cerdded arlliw croen canolig-golau
1F6B6 1F3FD	person yn cerdded arlliw croen canolog
1F6B6 1F3FE	person yn cerdded arlliw croen canolig-tywyll
1F6B6 1F3FF	person yn cerdded arlliw croen tywyll
1F6B7	dim cerddwyr
1F6B8	plant yn croesi
1F6B9	ystafell ymolchi i ddynion
1F6BA	ystafell ymolchi i fenywod
1F6BB	ystafell ymolchi
1F6BC	symbol babi
1F6BD	toiled
1F6BE	tŷ bach
1F6BF	cawod
1F6C0	person mewn bath
1F6C0 1F3FB	person mewn bath arlliw croen golau
1F6C0 1F3FC	person mewn bath arlliw croen canolig-golau
1F6C0 1F3FD	person mewn bath arlliw croen canolog
1F6C0 1F3FE	person mewn bath arlliw croen canolig-tywyll
1F6C0 1F3FF	person mewn bath arlliw croen tywyll
1F6C1	twba bath
1F6C2	arolygaeth pasbort
1F6C3	tollau
1F6C4	hawlio bagiau
1F6C5	bagiau wedi’u gadael
1F6CB	soffa a lamp
1F6CC	person mewn gwely
1F6CC 1F3FB	person mewn gwely arlliw croen golau
1F6CC 1F3FC	person mewn gwely arlliw croen canolig-golau
1F6CC 1F3FD	person mewn gwely arlliw croen canolog
1F6CC 1F3FE	person mewn gwely arlliw croen canolig-tywyll
1F6CC 1F3FF	person mewn gwely arlliw croen tywyll
1F6CD	bagiau siopa
1F6CE	porthor
1F6CF	gwely
1F6D0	man addoli
1F6D1	arwydd stop
1F6D2	troli siopa
1F6D5	teml hindwaidd
1F6D6	cwt
1F6D7	lifft
1F6D8	tirlithriad
1F6DC	diwifr
1F6DD	sleid maes chwarae
1F6DE	olwyn
1F6DF	bwi cylch
1F6E0	morthwyl a sbaner
1F6E1	tarian
1F6E2	drwm olew
1F6E3	traffordd
1F6E4	trac rheilffordd
1F6E5	cwch modur
1F6E9	awyren fach
1F6EB	ymadawiad awyren
1F6EC	dyfodiad awyren
1F6F0	lloeren
1F6F3	llong deithwyr
1F6F4	sgwter cicio
1F6F5	sgwter modur
1F6F6	canŵ
1F6F7	sled
1F6F8	soser hedegog
1F6F9	sgrialfwrdd
1F6FA	ricshio â pheiriant
1F6FB	lori pickup
1F6FC	esgid sglefrio
1F7E0	cylch oren
1F7E1	cylch melyn
1F7E2	cylch gwyrdd
1F7E3	cylch piws
1F7E4	cylch brown
1F7E5	sgwâr coch
1F7E6	sgwâr glas
1F7E7	sgwâr oren
1F7E8	sgwâr melyn
1F7E9	sgwâr gwyrdd
1F7EA	sgwâr piws
1F7EB	sgwâr brown
1F7F0	arwydd hafal trwm
1F90C	bysedd wedi’u pinsio
1F90C 1F3FB	bysedd wedi’u pinsio arlliw croen golau
1F90C 1F3FC	bysedd wedi’u pinsio arlliw croen canolig-golau
1F90C 1F3FD	bysedd wedi’u pinsio arlliw croen canolog
1F90C 1F3FE	bysedd wedi’u pinsio arlliw croen canolig-tywyll
1F90C 1F3FF	bysedd wedi’u pinsio arlliw croen tywyll
1F90D	calon wen
1F90E	calon frown
1F90F	bysedd yn pinshio
1F90F 1F3FB	bysedd yn pinshio arlliw croen golau
1F90F 1F3FC	bysedd yn pinshio arlliw croen canolig-golau
1F90F 1F3FD	bysedd yn pinshio arlliw croen canolog
1F90F 1F3FE	bysedd yn pinshio arlliw croen canolig-tywyll
1F90F 1F3FF	bysedd yn pinshio arlliw croen tywyll
1F910	wyneb â sip dros y geg
1F911	wyneb symbol arian
1F912	wyneb â thermomedr
1F913	wyneb clyfar
1F914	wyneb yn meddwl
1F915	wyneb â rhwymyn i’r pen
1F916	wyneb robot
1F917	wyneb yn rhoi cwtsh
1F918	arwydd y cyrn
1F918 1F3FB	arwydd y cyrn arlliw croen golau
1F918 1F3FC	arwydd y cyrn arlliw croen canolig-golau
1F918 1F3FD	arwydd y cyrn arlliw croen canolog
1F918 1F3FE	arwydd y cyrn arlliw croen canolig-tywyll
1F918 1F3FF	arwydd y cyrn arlliw croen tywyll
1F919	llaw ffonia fi
1F919 1F3FB	llaw ffonia fi arlliw croen golau
1F919 1F3FC	llaw ffonia fi arlliw croen canolig-golau
1F919 1F3FD	llaw ffonia fi arlliw croen canolog
1F919 1F3FE	llaw ffonia fi arlliw croen canolig-tywyll
1F919 1F3FF	llaw ffonia fi arlliw croen tywyll
1F91A	cefn llaw wedi’i chodi
1F91A 1F3FB	cefn llaw wedi’i chodi arlliw croen golau
1F91A 1F3FC	cefn llaw wedi’i chodi arlliw croen canolig-golau
1F91A 1F3FD	cefn llaw wedi’i chodi arlliw croen canolog
1F91A 1F3FE	cefn llaw wedi’i chodi arlliw croen canolig-tywyll
1F91A 1F3FF	cefn llaw wedi’i chodi arlliw croen tywyll
1F91B	dwrn tua’r chwith
1F91B 1F3FB	dwrn tua’r chwith arlliw croen golau
1F91B 1F3FC	dwrn tua’r chwith arlliw croen canolig-golau
1F91B 1F3FD	dwrn tua’r chwith arlliw croen canolog
1F91B 1F3FE	dwrn tua’r chwith arlliw croen canolig-tywyll
1F91B 1F3FF	dwrn tua’r chwith arlliw croen tywyll
1F91C	dwrn tua’r dde
1F91C 1F3FB	dwrn tua’r dde arlliw croen golau
1F91C 1F3FC	dwrn tua’r dde arlliw croen canolig-golau
1F91C 1F3FD	dwrn tua’r dde arlliw croen canolog
1F91C 1F3FE	dwrn tua’r dde arlliw croen canolig-tywyll
1F91C 1F3FF	dwrn tua’r dde arlliw croen tywyll
1F91D	ysgwyd dwylo
1F91D 1F3FB	ysgwyd dwylo arlliw croen golau
1F91D 1F3FC	ysgwyd dwylo arlliw croen canolig-golau
1F91D 1F3FD	ysgwyd dwylo arlliw croen canolog
1F91D 1F3FE	ysgwyd dwylo arlliw croen canolig-tywyll
1F91D 1F3FF	ysgwyd dwylo arlliw croen tywyll
1F91E	bysedd wedi’u croesi
1F91E 1F3FB	bysedd wedi’u croesi arlliw croen golau
1F91E 1F3FC	bysedd wedi’u croesi arlliw croen canolig-golau
1F91E 1F3FD	bysedd wedi’u croesi arlliw croen canolog
1F91E 1F3FE	bysedd wedi’u croesi arlliw croen canolig-tywyll
1F91E 1F3FF	bysedd wedi’u croesi arlliw croen tywyll
1F91F	arwydd caru ti
1F91F 1F3FB	arwydd caru ti arlliw croen golau
1F91F 1F3FC	arwydd caru ti arlliw croen canolig-golau
1F91F 1F3FD	arwydd caru ti arlliw croen canolog
1F91F 1F3FE	arwydd caru ti arlliw croen canolig-tywyll
1F91F 1F3FF	arwydd caru ti arlliw croen tywyll
1F920	wyneb het cowboi
1F921	wyneb clown
1F922	wyneb chwydlyd
1F923	rholio ar y llawr yn chwerthin
1F924	wyneb glafoerio
1F925	wyneb celwydd
1F926	cledr i’r wyneb
1F926 1F3FB	cledr i’r wyneb arlliw croen golau
1F926 1F3FC	cledr i’r wyneb arlliw croen canolig-golau
1F926 1F3FD	cledr i’r wyneb arlliw croen canolog
1F926 1F3FE	cledr i’r wyneb arlliw croen canolig-tywyll
1F926 1F3FF	cledr i’r wyneb arlliw croen tywyll
1F927	wyneb tisian
1F928	wyneb gydag ael wedi codi
1F929	wyneb â ser yn y llygaid
1F92A	wyneb penwan
1F92B	wyneb hisht
1F92C	wyneb â symbolau dros y ceg
1F92D	wyneb gyda llaw dros y geg
1F92E	wyneb yn chwydu
1F92F	pen yn ffrwydro
1F930	menyw feichiog
1F930 1F3FB	menyw feichiog arlliw croen golau
1F930 1F3FC	menyw feichiog arlliw croen canolig-golau
1F930 1F3FD	menyw feichiog arlliw croen canolog
1F930 1F3FE	menyw feichiog arlliw croen canolig-tywyll
1F930 1F3FF	menyw feichiog arlliw croen tywyll
1F931	bwydo o’r fron
1F931 1F3FB	bwydo o’r fron arlliw croen golau
1F931 1F3FC	bwydo o’r fron arlliw croen canolig-golau
1F931 1F3FD	bwydo o’r fron arlliw croen canolog
1F931 1F3FE	bwydo o’r fron arlliw croen canolig-tywyll
1F931 1F3FF	bwydo o’r fron arlliw croen tywyll
1F932	cledrau dwylo yn yr awyr gyda’u gilydd
1F932 1F3FB	cledrau dwylo yn yr awyr gyda’u gilydd arlliw croen golau
1F932 1F3FC	cledrau dwylo yn yr awyr gyda’u gilydd arlliw croen canolig-golau
1F932 1F3FD	cledrau dwylo yn yr awyr gyda’u gilydd arlliw croen canolog
1F932 1F3FE	cledrau dwylo yn yr awyr gyda’u gilydd arlliw croen canolig-tywyll
1F932 1F3FF	cledrau dwylo yn yr awyr gyda’u gilydd arlliw croen tywyll
1F933	hunlun
1F933 1F3FB	hunlun arlliw croen golau
1F933 1F3FC	hunlun arlliw croen canolig-golau
1F933 1F3FD	hunlun arlliw croen canolog
1F933 1F3FE	hunlun arlliw croen canolig-tywyll
1F933 1F3FF	hunlun arlliw croen tywyll
1F934	tywysog
1F934 1F3FB	tywysog arlliw croen golau
1F934 1F3FC	tywysog arlliw croen canolig-golau
1F934 1F3FD	tywysog arlliw croen canolog
1F934 1F3FE	tywysog arlliw croen canolig-tywyll
1F934 1F3FF	tywysog arlliw croen tywyll
1F935	person mewn siaced ginio
1F935 1F3FB	person mewn siaced ginio arlliw croen golau
1F935 1F3FC	person mewn siaced ginio arlliw croen canolig-golau
1F935 1F3FD	person mewn siaced ginio arlliw croen canolog
1F935 1F3FE	person mewn siaced ginio arlliw croen canolig-tywyll
1F935 1F3FF	person mewn siaced ginio arlliw croen tywyll
1F936	Siân Corn
1F936 1F3FB	Siân Corn arlliw croen golau
1F936 1F3FC	Siân Corn arlliw croen canolig-golau
1F936 1F3FD	Siân Corn arlliw croen canolog
1F936 1F3FE	Siân Corn arlliw croen canolig-tywyll
1F936 1F3FF	Siân Corn arlliw croen tywyll
1F937	codi gwar
1F937 1F3FB	codi gwar arlliw croen golau
1F937 1F3FC	codi gwar arlliw croen canolig-golau
1F937 1F3FD	codi gwar arlliw croen canolog
1F937 1F3FE	codi gwar arlliw croen canolig-tywyll
1F937 1F3FF	codi gwar arlliw croen tywyll
1F938	olwyn droi
1F938 1F3FB	olwyn droi arlliw croen golau
1F938 1F3FC	olwyn droi arlliw croen canolig-golau
1F938 1F3FD	olwyn droi arlliw croen canolog
1F938 1F3FE	olwyn droi arlliw croen canolig-tywyll
1F938 1F3FF	olwyn droi arlliw croen tywyll
1F939	jyglo
1F939 1F3FB	jyglo arlliw croen golau
1F939 1F3FC	jyglo arlliw croen canolig-golau
1F939 1F3FD	jyglo arlliw croen canolog
1F939 1F3FE	jyglo arlliw croen canolig-tywyll
1F939 1F3FF	jyglo arlliw croen tywyll
1F93A	ffensiwr
1F93C	taflwyr codwm
1F93C 1F3FB	taflwyr codwm arlliw croen golau
1F93C 1F3FC	taflwyr codwm arlliw croen canolig-golau
1F93C 1F3FD	taflwyr codwm arlliw croen canolog
1F93C 1F3FE	taflwyr codwm arlliw croen canolig-tywyll
1F93C 1F3FF	taflwyr codwm arlliw croen tywyll
1F93D	polo dŵr
1F93D 1F3FB	polo dŵr arlliw croen golau
1F93D 1F3FC	polo dŵr arlliw croen canolig-golau
1F93D 1F3FD	polo dŵr arlliw croen canolog
1F93D 1F3FE	polo dŵr arlliw croen canolig-tywyll
1F93D 1F3FF	polo dŵr arlliw croen tywyll
1F93E	pêl-law
1F93E 1F3FB	pêl-law arlliw croen golau
1F93E 1F3FC	pêl-law arlliw croen canolig-golau
1F93E 1F3FD	pêl-law arlliw croen canolog
1F93E 1F3FE	pêl-law arlliw croen canolig-tywyll
1F93E 1F3FF	pêl-law arlliw croen tywyll
1F93F	masg deifio
1F940	blodyn wedi gwiwo
1F941	drwm
1F942	gwydrau yn tincian
1F943	tymbler
1F944	llwy
1F945	rhwyd gôl
1F947	medal aur
1F948	medal arian
1F949	medal efydd
1F94A	maneg bocsio
1F94B	gwisg y crefftau ymladd
1F94C	carreg cyrlio
1F94D	lacrós
1F94E	pêl feddal
1F94F	disg hedfan
1F950	croissant
1F951	afocado
1F952	ciwcymber
1F953	bacwn
1F954	taten
1F955	moron
1F956	ffon fara
1F957	salad gwyrdd
1F958	padell fas o fwyd
1F959	bara gwastad wedi’i stwffio
1F95A	wy
1F95B	gwydraid o laeth
1F95C	cnai ddaear
1F95D	ffrwyth ciwi
1F95E	crempogau
1F95F	twmplen
1F960	bisgeden lwcus
1F961	bocs prydau parod
1F962	gweill bwyta
1F963	bowlen â llwy
1F964	cwpan â gwellt yfed
1F965	cneuen goco
1F966	brocoli
1F967	pei
1F968	pretsel
1F969	toriad o gig
1F96A	brechdan
1F96B	bwyd tun
1F96C	gwyrdd deiliog
1F96D	mango
1F96E	cacen lleuad
1F96F	bagel
1F970	wyneb yn gwenu â thair calon
1F971	wyneb yn dylyfu gên
1F972	wyneb yn gwenu gyda deugryn
1F973	wyneb yn partïo
1F974	wyneb meddw
1F975	wyneb poeth
1F976	wyneb oer
1F977	ninja
1F977 1F3FB	ninja arlliw croen golau
1F977 1F3FC	ninja arlliw croen canolig-golau
1F977 1F3FD	ninja arlliw croen canolog
1F977 1F3FE	ninja arlliw croen canolig-tywyll
1F977 1F3FF	ninja arlliw croen tywyll
1F978	wyneb mewn cuddwisg
1F979	wyneb yn dal dagrau yn ôl
1F97A	wyneb yn pledio
1F97B	sari
1F97C	cot lab
1F97D	gogls
1F97E	esgid gerdded
1F97F	esgid fflat
1F980	cranc
1F981	wyneb llew
1F982	sgorpion
1F983	twrci
1F984	wyneb uncorn
1F985	eryr
1F986	hwyaden
1F987	ystlum
1F988	siarc
1F989	tylluan
1F98A	llwynog
1F98B	pili-pala
1F98C	carw
1F98D	gorila
1F98E	madfall
1F98F	rhinoseros
1F990	berdysyn
1F991	ystifflog
1F992	jiráff
1F993	sebra
1F994	draenog
1F995	sawropod
1F996	T-Rex
1F997	criciedyn
1F998	cangarŵ
1F999	lama
1F99A	paun
1F99B	afonfarch
1F99C	parot
1F99D	racŵn
1F99E	cimwch
1F99F	mosgito
1F9A0	microb
1F9A1	mochyn daear
1F9A2	alarch
1F9A3	mamoth
1F9A4	dodo
1F9A5	diogyn
1F9A6	dyfrgi
1F9A7	orangwtan
1F9A8	drewgi
1F9A9	fflamingo
1F9AA	wystrys
1F9AB	afanc
1F9AC	bual
1F9AD	morlo
1F9AE	ci tywys
1F9AF	ffon wen
1F9B0	gwallt coch
1F9B1	gwallt cyrliog
1F9B2	moel
1F9B3	gwallt gwyn
1F9B4	asgwrn
1F9B5	coes
1F9B5 1F3FB	coes arlliw croen golau
1F9B5 1F3FC	coes arlliw croen canolig-golau
1F9B5 1F3FD	coes arlliw croen canolog
1F9B5 1F3FE	coes arlliw croen canolig-tywyll
1F9B5 1F3FF	coes arlliw croen tywyll
1F9B6	troed
1F9B6 1F3FB	troed arlliw croen golau
1F9B6 1F3FC	troed arlliw croen canolig-golau
1F9B6 1F3FD	troed arlliw croen canolog
1F9B6 1F3FE	troed arlliw croen canolig-tywyll
1F9B6 1F3FF	troed arlliw croen tywyll
1F9B7	dant
1F9B8	archarwr
1F9B8 1F3FB	archarwr arlliw croen golau
1F9B8 1F3FC	archarwr arlliw croen canolig-golau
1F9B8 1F3FD	archarwr arlliw croen canolog
1F9B8 1F3FE	archarwr arlliw croen canolig-tywyll
1F9B8 1F3FF	archarwr arlliw croen tywyll
1F9B9	archleidr
1F9B9 1F3FB	archleidr arlliw croen golau
1F9B9 1F3FC	archleidr arlliw croen canolig-golau
1F9B9 1F3FD	archleidr arlliw croen canolog
1F9B9 1F3FE	archleidr arlliw croen canolig-tywyll
1F9B9 1F3FF	archleidr arlliw croen tywyll
1F9BA	siaced ddiogelwch
1F9BB	clust gyda chymorth clyw
1F9BB 1F3FB	clust gyda chymorth clyw arlliw croen golau
1F9BB 1F3FC	clust gyda chymorth clyw arlliw croen canolig-golau
1F9BB 1F3FD	clust gyda chymorth clyw arlliw croen canolog
1F9BB 1F3FE	clust gyda chymorth clyw arlliw croen canolig-tywyll
1F9BB 1F3FF	clust gyda chymorth clyw arlliw croen tywyll
1F9BC	cadair olwyn â pheiriant
1F9BD	cadair olwyn heb beiriant
1F9BE	braich fecanyddol
1F9BF	coes fecanyddol
1F9C0	darn o gaws
1F9C1	cacen cwpan
1F9C2	halen
1F9C3	blwch diodydd
1F9C4	garlleg
1F9C5	winwns
1F9C6	ffalaffel
1F9C7	woffl
1F9C8	menyn
1F9C9	maté
1F9CA	ciwb iâ
1F9CB	te swigod
1F9CC	ellyll
1F9CD	person yn sefyll
1F9CD 1F3FB	person yn sefyll arlliw croen golau
1F9CD 1F3FC	person yn sefyll arlliw croen canolig-golau
1F9CD 1F3FD	person yn sefyll arlliw croen canolog
1F9CD 1F3FE	person yn sefyll arlliw croen canolig-tywyll
1F9CD 1F3FF	person yn sefyll arlliw croen tywyll
1F9CE	person yn penlinio
1F9CE 1F3FB	person yn penlinio arlliw croen golau
1F9CE 1F3FC	person yn penlinio arlliw croen canolig-golau
1F9CE 1F3FD	person yn penlinio arlliw croen canolog
1F9CE 1F3FE	person yn penlinio arlliw croen canolig-tywyll
1F9CE 1F3FF	person yn penlinio arlliw croen tywyll
1F9CF	person byddar
1F9CF 1F3FB	person byddar arlliw croen golau
1F9CF 1F3FC	person byddar arlliw croen canolig-golau
1F9CF 1F3FD	person byddar arlliw croen canolog
1F9CF 1F3FE	person byddar arlliw croen canolig-tywyll
1F9CF 1F3FF	person byddar arlliw croen tywyll
1F9D0	wyneb gyda monocl
1F9D1	person
1F9D1 1F3FB	person arlliw croen golau
1F9D1 1F3FC	person arlliw croen canolig-golau
1F9D1 1F3FD	person arlliw croen canolog
1F9D1 1F3FE	person arlliw croen canolig-tywyll
1F9D1 1F3FF	person arlliw croen tywyll
1F9D2	plentyn
1F9D2 1F3FB	plentyn arlliw croen golau
1F9D2 1F3FC	plentyn arlliw croen canolig-golau
1F9D2 1F3FD	plentyn arlliw croen canolog
1F9D2 1F3FE	plentyn arlliw croen canolig-tywyll
1F9D2 1F3FF	plentyn arlliw croen tywyll
1F9D3	oedolyn oedranus
1F9D3 1F3FB	oedolyn oedranus arlliw croen golau
1F9D3 1F3FC	oedolyn oedranus arlliw croen canolig-golau
1F9D3 1F3FD	oedolyn oedranus arlliw croen canolog
1F9D3 1F3FE	oedolyn oedranus arlliw croen canolig-tywyll
1F9D3 1F3FF	oedolyn oedranus arlliw croen tywyll
1F9D4	person barf
1F9D4 1F3FB	person arlliw croen golau, barf
1F9D4 1F3FC	person arlliw croen canolig-golau, barf
1F9D4 1F3FD	person arlliw croen canolog, barf
1F9D4 1F3FE	person arlliw croen canolig-tywyll, barf
1F9D4 1F3FF	person arlliw croen tywyll, barf
1F9D5	menyw â phensgarff
1F9D5 1F3FB	menyw â phensgarff arlliw croen golau
1F9D5 1F3FC	menyw â phensgarff arlliw croen canolig-golau
1F9D5 1F3FD	menyw â phensgarff arlliw croen canolog
1F9D5 1F3FE	menyw â phensgarff arlliw croen canolig-tywyll
1F9D5 1F3FF	menyw â phensgarff arlliw croen tywyll
1F9D6	person mewn ystafell llawn stêm
1F9D6 1F3FB	person mewn ystafell llawn stêm arlliw croen golau
1F9D6 1F3FC	person mewn ystafell llawn stêm arlliw croen canolig-golau
1F9D6 1F3FD	person mewn ystafell llawn stêm arlliw croen canolog
1F9D6 1F3FE	person mewn ystafell llawn stêm arlliw croen canolig-tywyll
1F9D6 1F3FF	person mewn ystafell llawn stêm arlliw croen tywyll
1F9D7	person yn dringo
1F9D7 1F3FB	person yn dringo arlliw croen golau
1F9D7 1F3FC	person yn dringo arlliw croen canolig-golau
1F9D7 1F3FD	person yn dringo arlliw croen canolog
1F9D7 1F3FE	person yn dringo arlliw croen canolig-tywyll
1F9D7 1F3FF	person yn dringo arlliw croen tywyll
1F9D8	person mewn ystum lingroes
1F9D8 1F3FB	person mewn ystum lingroes arlliw croen golau
1F9D8 1F3FC	person mewn ystum lingroes arlliw croen canolig-golau
1F9D8 1F3FD	person mewn ystum lingroes arlliw croen canolog
1F9D8 1F3FE	person mewn ystum lingroes arlliw croen canolig-tywyll
1F9D8 1F3FF	person mewn ystum lingroes arlliw croen tywyll
1F9D9	dewin
1F9D9 1F3FB	dewin arlliw croen golau
1F9D9 1F3FC	dewin arlliw croen canolig-golau
1F9D9 1F3FD	dewin arlliw croen canolog
1F9D9 1F3FE	dewin arlliw croen canolig-tywyll
1F9D9 1F3FF	dewin arlliw croen tywyll
1F9DA	tylwyth teg
1F9DA 1F3FB	tylwyth teg arlliw croen golau
1F9DA 1F3FC	tylwyth teg arlliw croen canolig-golau
1F9DA 1F3FD	tylwyth teg arlliw croen canolog
1F9DA 1F3FE	tylwyth teg arlliw croen canolig-tywyll
1F9DA 1F3FF	tylwyth teg arlliw croen tywyll
1F9DB	fampir
1F9DB 1F3FB	fampir arlliw croen golau
1F9DB 1F3FC	fampir arlliw croen canolig-golau
1F9DB 1F3FD	fampir arlliw croen canolog
1F9DB 1F3FE	fampir arlliw croen canolig-tywyll
1F9DB 1F3FF	fampir arlliw croen tywyll
1F9DC	môrberson
1F9DC 1F3FB	môrberson arlliw croen golau
1F9DC 1F3FC	môrberson arlliw croen canolig-golau
1F9DC 1F3FD	môrberson arlliw croen canolog
1F9DC 1F3FE	môrberson arlliw croen canolig-tywyll
1F9DC 1F3FF	môrberson arlliw croen tywyll
1F9DD	coblyn
1F9DD 1F3FB	coblyn arlliw croen golau
